,LAT,LON,CORR_DEPTH,MAG_TOT,MAG_TOT2,MAG_RES,GRA_OBS,EOTVOS,FREEAIR,LINEID,DT
2017-09-20 04:29:00+00:00,-27.60668,73.80108,2981.2,47642.9,47640.1,-32.9,979160.4,-46.7,19.5,7-112,0 days 00:01:00
2017-09-20 04:30:00+00:00,-27.60657,73.80034,2989.0,47646.3,47686.0,-32.1,979160.8,-47.7,19.3,7-112,0 days 00:01:00
2017-09-20 04:31:00+00:00,-27.60595,73.79635,2990.8,47648.2,47646.9,-26.1,979160.8,-52.0,18.6,7-112,0 days 00:01:00
2017-09-20 04:32:00+00:00,-27.60557,73.79386,2960.8,47652.3,47647.9,-21.1,979158.6,-53.6,17.6,7-112,0 days 00:01:00
2017-09-20 04:33:00+00:00,-27.60523,73.79129,3074.1,47654.3,47654.1,-16.1,979158.4,-56.2,16.9,7-112,0 days 00:01:00
2017-09-20 04:34:00+00:00,-27.60502,73.78949,3061.7,47658.0,47655.5,-12.6,979158.6,-58.2,16.2,7-112,0 days 00:01:00
2017-09-20 04:35:00+00:00,-27.60458,73.78561,3101.1,47663.9,47662.9,-4.5,979157.4,-63.0,16.1,7-112,0 days 00:01:00
2017-09-20 04:36:00+00:00,-27.60422,73.78254,3177.9,47672.3,47667.4,1.4,979156.7,-65.5,15.9,7-112,0 days 00:01:00
2017-09-20 04:37:00+00:00,-27.604,73.78045,3175.9,47674.1,47672.8,6.3,979157.6,-65.9,15.6,7-112,0 days 00:01:00
2017-09-20 04:38:00+00:00,-27.60354,73.77634,3140.4,47680.5,47679.8,16.3,979156.9,-64.1,15.2,7-112,0 days 00:01:00
2017-09-20 04:39:00+00:00,-27.6032,73.77339,3110.0,47688.0,47685.5,23.0,979156.6,-61.4,14.9,7-112,0 days 00:01:00
2017-09-20 04:40:00+00:00,-27.6031,73.77242,3083.8,47692.7,47687.1,26.8,979155.7,-61.1,14.5,7-112,0 days 00:01:00
2017-09-20 04:41:00+00:00,-27.60256,73.76761,3077.1,47700.0,47697.5,39.5,979155.3,-61.5,13.1,7-112,0 days 00:01:00
2017-09-20 04:42:00+00:00,-27.60219,73.76466,3071.3,47705.3,47705.3,46.7,979152.8,-62.8,12.5,7-112,0 days 00:01:00
