,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR
1997-06-16 01:59:00-12:00,16.35136,-46.62141,4.413,3312.0,34635.0,30.0,23.5
1997-06-16 02:10:00-12:00,16.34284,-46.62171,4.366,3276.0,34657.0,57.0,22.1
1997-06-16 02:11:00-12:00,16.34203,-46.62167,4.386,3292.0,34661.0,61.0,22.1
1997-06-16 02:12:00-12:00,16.34119,-46.62166,4.362,3274.0,34664.0,65.0,21.8
1997-06-16 02:13:00-12:00,16.34032,-46.62165,4.356,3269.0,34668.0,68.0,21.6
1997-06-16 02:14:00-12:00,16.33942,-46.62164,4.414,3312.0,34672.0,73.0,21.8
1997-06-16 02:15:00-12:00,16.33855,-46.62162,4.45,3340.0,34675.0,77.0,21.6
1997-06-16 02:16:00-12:00,16.33757,-46.62159,4.452,3341.0,34680.0,82.0,21.3
1997-06-16 02:20:00-12:00,16.33291,-46.62132,4.384,3290.0,34698.0,102.0,23.2
1997-06-16 02:21:00-12:00,16.33163,-46.62132,4.326,3245.0,34702.0,107.0,22.7
1997-06-16 02:22:00-12:00,16.33037,-46.62127,4.336,3254.0,34706.0,112.0,22.1
1997-06-16 02:23:00-12:00,16.32911,-46.62127,4.344,3260.0,34709.0,116.0,21.9
1997-06-16 02:24:00-12:00,16.32788,-46.62122,4.37,3280.0,34712.0,119.0,21.7
1997-06-16 02:25:00-12:00,16.32665,-46.62119,4.389,3294.0,34716.0,124.0,21.2
1997-06-16 02:26:00-12:00,16.32538,-46.62126,4.43,3324.0,34718.0,127.0,21.2
1997-06-16 02:27:00-12:00,16.32409,-46.62135,4.452,3341.0,34720.0,130.0,21.2
1997-06-16 02:28:00-12:00,16.32285,-46.62137,4.424,3320.0,34722.0,132.0,20.9
1997-06-16 02:29:00-12:00,16.32165,-46.62141,4.391,3295.0,34723.0,134.0,20.9
1997-06-16 02:30:00-12:00,16.34838,-46.62167,4.474,3359.0,34640.0,37.0,21.4
1997-06-16 02:31:00-12:00,16.31921,-46.62137,4.412,3311.0,34726.0,137.0,21.8
1997-06-16 02:32:00-12:00,16.31797,-46.62143,4.507,3383.0,34726.0,138.0,22.6
1997-06-16 02:33:00-12:00,16.31673,-46.62156,4.546,3413.0,34726.0,139.0,23.0
1997-06-16 02:34:00-12:00,16.3155,-46.62174,4.554,3419.0,34725.0,139.0,22.4
1997-06-16 02:35:00-12:00,16.31423,-46.62186,4.562,3425.0,34724.0,138.0,21.4
1997-06-16 02:36:00-12:00,16.31302,-46.62198,4.571,3431.0,34722.0,137.0,20.5
1997-06-16 02:37:00-12:00,16.31178,-46.62205,4.602,3456.0,34720.0,136.0,20.3
1997-06-16 02:38:00-12:00,16.31055,-46.62209,4.613,3464.0,34718.0,134.0,20.6
1997-06-16 02:39:00-12:00,16.30932,-46.62206,4.632,3478.0,34716.0,133.0,20.8
1997-06-16 02:40:00-12:00,16.30806,-46.62202,4.617,3467.0,34714.0,131.0,20.9
1997-06-16 02:41:00-12:00,16.30686,-46.62195,4.614,3464.0,34710.0,128.0,21.3
1997-06-16 02:42:00-12:00,16.30566,-46.62191,4.632,3478.0,34706.0,125.0,21.3
1997-06-16 02:43:00-12:00,16.30453,-46.6218,4.634,3480.0,34703.0,123.0,20.3
1997-06-16 02:44:00-12:00,16.30337,-46.62173,4.658,3498.0,34699.0,119.0,20.4
1997-06-16 02:45:00-12:00,16.30218,-46.62173,4.66,3499.0,34696.0,116.0,21.1
1997-06-16 02:46:00-12:00,16.30102,-46.62176,4.653,3494.0,34691.0,112.0,20.9
1997-06-16 02:47:00-12:00,16.29985,-46.62182,4.658,3498.0,34686.0,108.0,20.8
1997-06-16 02:48:00-12:00,16.29868,-46.62194,4.68,3514.0,34681.0,104.0,20.8
1997-06-16 02:49:00-12:00,16.29752,-46.62199,4.712,3538.0,34676.0,98.0,19.8
1997-06-16 02:50:00-12:00,16.29635,-46.62203,4.706,3534.0,34670.0,94.0,19.7
1997-06-16 02:51:00-12:00,16.29524,-46.62207,4.65,3492.0,34665.0,89.0,19.4
1997-06-16 02:52:00-12:00,16.2941,-46.62209,4.728,3550.0,34658.0,83.0,19.5
