,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,TIME
2001-12-31 01:51:00+05:00,-47.86089,103.24068,3.788,2815.0,61870.0,82.0,33.6,0 days 00:00:00
2001-12-31 01:52:00+05:00,-47.86137,103.24256,3.784,2812.0,61873.0,84.0,32.4,0 days 00:01:00
2001-12-31 01:53:00+05:00,-47.86185,103.24444,3.844,2858.0,61880.0,90.0,30.5,0 days 00:02:00
2001-12-31 01:54:00+05:00,-47.86228,103.24635,3.832,2849.0,61887.0,96.0,28.4,0 days 00:03:00
2001-12-31 01:55:00+05:00,-47.86275,103.24828,3.847,2860.0,61891.0,100.0,29.4,0 days 00:04:00
2001-12-31 01:56:00+05:00,-47.86318,103.25023,3.851,2863.0,61894.0,103.0,30.2,0 days 00:05:00
2001-12-31 01:57:00+05:00,-47.86361,103.25214,3.863,2872.0,61898.0,106.0,30.5,0 days 00:06:00
2001-12-31 01:58:00+05:00,-47.86404,103.25407,3.879,2884.0,61902.0,109.0,28.7,0 days 00:07:00
2001-12-31 01:59:00+05:00,-47.86446,103.25597,3.876,2882.0,61903.0,110.0,31.3,0 days 00:08:00
2001-12-31 02:00:00+05:00,-47.86492,103.25787,3.88,2885.0,61910.0,116.0,32.4,0 days 00:09:00
2001-12-31 02:10:00+05:00,-47.86932,103.2767,3.886,2889.0,61946.0,146.0,31.2,0 days 00:19:00
2001-12-31 02:11:00+05:00,-47.86973,103.27854,3.867,2875.0,61944.0,144.0,28.9,0 days 00:20:00
2001-12-31 02:12:00+05:00,-47.87015,103.28038,3.886,2889.0,61946.0,145.0,31.9,0 days 00:21:00
2001-12-31 02:13:00+05:00,-47.87061,103.28218,3.901,2901.0,61949.0,148.0,30.8,0 days 00:22:00
2001-12-31 02:14:00+05:00,-47.87104,103.284,3.906,2905.0,61953.0,151.0,30.3,0 days 00:23:00
2001-12-31 02:15:00+05:00,-47.87143,103.28586,3.922,2917.0,61954.0,151.0,28.7,0 days 00:24:00
2001-12-31 02:16:00+05:00,-47.87191,103.28768,3.924,2918.0,61953.0,150.0,28.0,0 days 00:25:00
2001-12-31 02:17:00+05:00,-47.87231,103.28955,3.921,2916.0,61958.0,154.0,31.5,0 days 00:26:00
2001-12-31 02:18:00+05:00,-47.87273,103.29144,3.931,2923.0,61961.0,156.0,30.3,0 days 00:27:00
2001-12-31 02:19:00+05:00,-47.87319,103.29331,3.915,2911.0,61956.0,151.0,28.2,0 days 00:28:00
2001-12-31 02:20:00+05:00,-47.8736,103.29518,3.924,2918.0,61956.0,150.0,27.6,0 days 00:29:00
2001-12-31 02:21:00+05:00,-47.87409,103.297,3.933,2925.0,61958.0,152.0,31.8,0 days 00:30:00
2001-12-31 02:22:00+05:00,-47.87447,103.29888,3.938,2929.0,61957.0,150.0,32.2,0 days 00:31:00
2001-12-31 02:23:00+05:00,-47.87491,103.30069,3.919,2914.0,61956.0,149.0,30.0,0 days 00:32:00
2001-12-31 02:24:00+05:00,-47.87533,103.30255,3.935,2926.0,61955.0,148.0,29.6,0 days 00:33:00
2001-12-31 02:25:00+05:00,-47.87575,103.30444,3.932,2924.0,61956.0,148.0,29.4,0 days 00:34:00
2001-12-31 02:26:00+05:00,-47.87626,103.30629,3.94,2930.0,61954.0,144.0,30.6,0 days 00:35:00
2001-12-31 02:27:00+05:00,-47.87675,103.30812,3.942,2931.0,61955.0,145.0,28.6,0 days 00:36:00
2001-12-31 02:28:00+05:00,-47.87729,103.30992,3.954,2941.0,61957.0,146.0,26.4,0 days 00:37:00
2001-12-31 02:29:00+05:00,-47.8778,103.31174,3.964,2948.0,61953.0,142.0,28.7,0 days 00:38:00
2001-12-31 02:30:00+05:00,-47.87831,103.31355,3.97,2953.0,61953.0,142.0,28.3,0 days 00:39:00
2001-12-31 02:31:00+05:00,-47.87881,103.31541,3.974,2955.0,61955.0,143.0,29.2,0 days 00:40:00
2001-12-31 02:32:00+05:00,-47.87929,103.31724,3.97,2953.0,61955.0,143.0,31.5,0 days 00:41:00
2001-12-31 02:33:00+05:00,-47.87982,103.31904,4.004,2978.0,61954.0,141.0,31.5,0 days 00:42:00
2001-12-31 02:34:00+05:00,-47.88029,103.32088,3.992,2969.0,61953.0,139.0,30.9,0 days 00:43:00
