,LAT,LON,BAT_TTIME,CORR_DEPTH,BAT_CPCO,BAT_TYPCO,MAG_TOT,MAG_RES,FREEAIR
1979-05-19 02:30:00+00:00,16.22972,-99.81965,7.117,5354.0,43.0,1,41081.0,69.0,-128.3
1979-05-19 02:45:00+00:00,16.18094,-99.81402,7.044,5298.0,43.0,1,40930.0,-50.0,-123.3
1979-05-19 03:00:00+00:00,16.13214,-99.80842,6.46,4851.0,43.0,1,40871.0,-77.0,-114.3
1979-05-19 03:30:00+00:00,16.09372,-99.7232,6.227,4673.0,43.0,1,40874.0,-57.0,-103.7
1979-05-19 11:30:00+00:00,15.49778,-98.23145,6.157,4619.0,43.0,1,40776.0,85.0,-97.4
1979-05-19 12:00:00+00:00,15.46179,-98.13441,6.153,4616.0,43.0,1,40687.0,11.0,-86.6
1979-05-19 12:30:00+00:00,15.4257,-98.03351,6.08,4560.0,43.0,1,40659.0,-4.0,-86.5
1979-05-19 16:00:00+00:00,15.15554,-97.33404,5.132,3837.0,43.0,1,40452.0,-99.0,-40.5
1979-05-19 19:00:00+00:00,14.9076,-96.74523,5.027,3762.0,42.0,1,40392.0,-50.0,-11.1
1979-05-20 01:00:00+00:00,14.38632,-95.74159,4.049,3023.0,42.0,1,39854.0,-330.0,34.7
1979-05-20 01:30:00+00:00,14.34585,-95.65064,5.004,3745.0,42.0,1,40134.0,-31.0,11.6
1979-05-20 07:20:00+00:00,13.95638,-94.57608,5.346,4005.0,42.0,1,39940.0,-57.0,14.9
1979-05-20 11:30:00+00:00,13.7623,-93.7523,6.029,4528.0,42.0,1,39871.0,-62.0,-27.5
1979-05-20 14:05:00+00:00,13.63838,-93.2403,6.648,5003.0,42.0,1,39799.0,-90.0,-80.0
1979-05-21 07:00:00+00:00,12.73705,-90.95058,7.087,5343.0,42.0,1,39350.0,-89.0,-128.5
1979-05-21 13:30:00+00:00,12.67428,-90.92487,8.049,6090.0,42.0,1,39281.0,-118.0,-134.0
1979-05-21 15:35:00+00:00,12.80821,-90.89649,5.521,4139.0,42.0,1,39429.0,-61.0,-96.7
1979-05-21 16:00:00+00:00,12.78008,-90.92363,6.082,4569.0,42.0,1,39402.0,-67.0,-120.0
1979-05-21 17:30:00+00:00,12.72516,-90.94988,7.066,5327.0,42.0,1,39367.0,-64.0,-125.6
1979-05-22 01:30:00+00:00,12.72685,-90.96701,7.174,5410.0,42.0,1,39266.0,-165.0,-133.1
1979-05-22 02:30:00+00:00,12.64326,-90.95444,6.902,5201.0,42.0,1,39203.0,-173.0,-113.4
1979-05-22 06:30:00+00:00,12.69409,-90.83987,6.918,5213.0,42.0,1,39301.0,-116.0,-132.7
1979-05-22 08:00:00+00:00,12.65185,-90.8678,8.065,6103.0,42.0,1,39260.0,-127.0,-139.1
1979-05-22 09:00:00+00:00,12.70077,-90.98478,7.954,6016.0,42.0,1,39287.0,-126.0,-124.5
1979-05-22 10:30:00+00:00,12.85633,-90.95175,4.992,3735.0,42.0,1,39417.0,-101.0,-94.3
1979-05-22 12:00:00+00:00,12.74617,-90.97017,7.032,5301.0,42.0,1,39344.0,-100.0,-131.5
1979-05-22 12:30:00+00:00,12.6911,-90.99318,8.073,6109.0,42.0,1,39280.0,-126.0,-138.4
1979-05-22 21:30:00+00:00,12.65603,-90.86865,8.007,6057.0,42.0,1,39256.0,-134.0,-135.4
1979-05-22 23:10:00+00:00,12.7574,-90.98926,6.838,5151.0,42.0,1,39314.0,-136.0,-129.2
1979-05-22 23:30:00+00:00,12.79639,-90.96687,6.14,4614.0,42.0,1,39350.0,-128.0,-114.2
1979-05-23 00:55:00+00:00,12.83605,-90.83664,4.91,3673.0,42.0,1,39368.0,-143.0,-97.1
1979-05-23 01:30:00+00:00,12.90412,-90.80265,3.803,2838.0,42.0,1,39450.0,-109.0,-72.1
1979-05-23 02:30:00+00:00,13.05395,-90.74993,2.978,2218.0,42.0,1,39637.0,-25.0,-25.7
1979-05-23 03:20:00+00:00,13.19024,-90.70437,1.108,827.0,42.0,1,39738.0,-18.0,60.9
1979-05-23 05:00:00+00:00,13.03542,-90.81302,2.956,2202.0,42.0,1,39540.0,-106.0,-34.7
1979-05-23 08:00:00+00:00,12.74307,-90.97507,7.13,5376.0,42.0,1,39328.0,-113.0,-131.3
1979-05-23 13:00:00+00:00,12.80552,-91.38624,7.081,5339.0,42.0,1,39325.0,-133.0,-104.7
1979-05-23 14:05:00+00:00,12.79147,-91.24211,7.867,5948.0,42.0,1,39363.0,-95.0,-125.8
1979-05-23 20:20:00+00:00,12.69624,-90.88918,7.254,5472.0,42.0,1,39321.0,-94.0,-139.6
1979-05-28 13:00:00+00:00,11.71864,-90.55803,4.942,3698.0,42.0,1,38676.0,-111.0,40.3
1979-05-28 14:30:00+00:00,11.47195,-90.39921,4.87,3643.0,42.0,1,38541.0,-93.0,32.8
1979-05-28 17:00:00+00:00,11.06168,-90.11952,4.917,3679.0,42.0,1,38276.0,-105.0,32.2
1979-05-28 18:00:00+00:00,10.89757,-90.00222,4.898,3664.0,42.0,1,38167.0,-114.0,30.5
1979-05-28 22:00:00+00:00,10.28765,-89.55548,4.785,3579.0,42.0,1,37519.0,-390.0,21.2
1979-05-29 01:25:00+00:00,9.75483,-89.17492,4.658,3483.0,42.0,1,37545.0,-41.0,15.2
1979-05-29 06:00:00+00:00,9.02743,-88.68654,4.587,3429.0,42.0,1,37069.0,-78.0,14.2
1979-05-29 14:50:00+00:00,7.59884,-87.70466,4.495,3360.0,42.0,1,36223.0,-74.0,9.0
1979-05-29 16:00:00+00:00,7.40424,-87.58422,4.322,3229.0,42.0,1,36062.0,-120.0,17.8
1979-05-29 19:00:00+00:00,6.89443,-87.26488,4.131,3085.0,42.0,1,35746.0,-137.0,18.1
1979-05-29 19:30:00+00:00,6.8082,-87.21258,4.146,3096.0,42.0,1,35756.0,-77.0,18.8
1979-05-29 21:00:00+00:00,6.54388,-87.0521,4.02,3001.0,42.0,1,35567.0,-112.0,18.6
1979-05-29 21:30:00+00:00,6.45698,-86.99546,3.945,2945.0,42.0,1,35250.0,-379.0,11.4
1979-05-30 00:00:00+00:00,6.02558,-86.71216,3.067,2285.0,42.0,1,35416.0,36.0,8.0
1979-05-30 05:10:00+00:00,5.17641,-86.09223,1.952,1454.0,42.0,1,34867.0,-29.0,32.0
1979-05-30 06:00:00+00:00,5.03367,-86.01912,2.127,1584.0,42.0,1,34847.0,31.0,29.2
1979-05-30 07:30:00+00:00,4.81453,-86.03266,2.007,1495.0,42.0,1,34546.0,-145.0,31.6
1979-05-30 11:30:00+00:00,4.14751,-86.06893,2.934,2185.0,42.0,1,34246.0,-73.0,-7.7
1979-05-30 11:55:00+00:00,4.07692,-86.07703,3.042,2266.0,42.0,1,34432.0,152.0,-20.7
1979-05-31 07:00:00+00:00,0.78982,-86.40804,3.308,2465.0,42.0,1,32245.0,-340.0,-1.6
1979-05-31 07:30:00+00:00,0.70313,-86.41177,3.549,2646.0,42.0,1,32209.0,-334.0,-8.5
1979-05-31 14:00:00+00:00,0.20238,-86.41726,3.702,2761.0,42.0,1,32657.0,351.0,-3.8
1979-05-31 18:00:00+00:00,0.39478,-86.45082,3.806,2840.0,42.0,1,32621.0,224.0,-21.0
1979-05-31 19:00:00+00:00,0.22252,-86.46261,3.695,2756.0,42.0,1,32694.0,378.0,-7.6
1979-06-01 01:30:00+00:00,-0.84906,-86.49492,2.653,1976.0,42.0,1,31908.0,79.0,-12.3
1979-06-01 04:00:00+00:00,-0.69845,-86.82117,2.982,2221.0,42.0,1,31933.0,30.0,1.3
1979-06-01 04:05:00+00:00,-0.68437,-86.81833,2.981,2221.0,42.0,1,31851.0,-58.0,-0.1
1979-06-01 05:30:00+00:00,-0.44017,-86.77231,3.488,2600.0,42.0,1,32147.0,130.0,-4.2
1979-06-01 11:30:00+00:00,0.57838,-86.71052,3.628,2706.0,42.0,1,32426.0,-61.0,-11.1
1979-06-01 13:00:00+00:00,0.82692,-86.68423,3.199,2383.0,42.0,1,32335.0,-271.0,0.0
1979-06-01 13:30:00+00:00,0.90905,-86.67246,3.322,2476.0,42.0,1,32257.0,-388.0,-4.8
1979-06-01 14:30:00+00:00,1.07361,-86.65066,3.513,2619.0,42.0,1,32730.0,6.0,-12.1
1979-06-01 16:00:00+00:00,1.31995,-86.61653,3.571,2663.0,42.0,1,33154.0,310.0,-8.6
1979-06-01 19:30:00+00:00,1.90395,-86.55396,3.212,2393.0,42.0,1,33229.0,94.0,-3.3
1979-06-01 22:30:00+00:00,2.41673,-86.50865,4.036,3013.0,42.0,1,33306.0,-90.0,-19.7
1979-06-02 06:00:00+00:00,3.72077,-86.35855,3.176,2366.0,42.0,1,34070.0,-15.0,-8.5
1979-06-02 06:30:00+00:00,3.79789,-86.36738,2.926,2180.0,42.0,1,33847.0,-280.0,-8.0
1979-06-02 09:30:00+00:00,3.8876,-86.8216,2.006,1494.0,42.0,1,34023.0,-151.0,-4.3
1979-06-02 11:00:00+00:00,3.87002,-87.08422,1.959,1460.0,42.0,1,34190.0,27.0,16.0
1979-06-02 12:00:00+00:00,3.69604,-87.1081,1.842,1373.0,42.0,1,34054.0,-15.0,15.2
1979-06-02 12:30:00+00:00,3.60786,-87.12015,2.011,1498.0,42.0,1,33777.0,-244.0,11.7
1979-06-02 15:00:00+00:00,3.16711,-87.18194,2.887,2150.0,42.0,1,33783.0,-4.0,-2.1
1979-06-02 15:30:00+00:00,3.07891,-87.19412,3.666,2734.0,42.0,1,33986.0,246.0,-17.0
1979-06-02 17:30:00+00:00,3.02911,-87.20283,3.614,2695.0,42.0,1,33570.0,-144.0,-5.6
1979-06-03 08:30:00+00:00,1.97281,-86.63622,4.003,2988.0,42.0,1,33333.0,164.0,-9.1
1979-06-03 09:30:00+00:00,1.96,-86.52131,3.955,2952.0,42.0,1,33380.0,218.0,-9.1
1979-06-03 19:50:00+00:00,1.81906,-87.30229,3.525,2628.0,42.0,1,33193.0,97.0,-5.5
1979-06-04 00:00:00+00:00,1.04526,-87.38261,3.431,2557.0,42.0,1,32324.0,-393.0,-7.1
1979-06-04 00:30:00+00:00,0.9505,-87.39178,3.378,2518.0,42.0,1,32400.0,-272.0,-5.7
1979-06-04 02:00:00+00:00,0.66686,-87.41785,3.04,2265.0,42.0,1,32744.0,207.0,2.1
1979-06-04 09:00:00+00:00,-0.61657,-87.47894,1.463,1091.0,42.0,1,31623.0,-328.0,17.0
1979-06-04 10:00:00+00:00,-0.78335,-87.48515,2.396,1785.0,42.0,1,31669.0,-209.0,-8.7
1979-06-04 19:30:00+00:00,0.08521,-88.32574,3.21,2392.0,42.0,1,32080.0,-198.0,-4.4
1979-06-04 23:00:00+00:00,0.68132,-88.26742,2.768,2062.0,42.0,1,32233.0,-319.0,6.6
1979-06-05 03:00:00+00:00,0.92119,-88.23752,3.323,2476.0,42.0,1,32343.0,-321.0,-9.1
1979-06-05 06:00:00+00:00,1.43847,-88.209,3.482,2596.0,42.0,1,33039.0,128.0,-8.6
1979-06-05 06:15:00+00:00,1.481,-88.20443,3.503,2611.0,42.0,1,32805.0,-127.0,-9.2
1979-06-05 08:00:00+00:00,1.78347,-88.16737,3.62,2700.0,42.0,1,32821.0,-259.0,-14.9
