,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR
2001-10-11 19:31:00-12:00,-14.79342,71.3296,6.51,4902.0,46979.0,4611.0,13.5
2001-10-11 19:32:00-12:00,-14.79489,71.33201,6.48,4879.0,46983.0,4614.0,14.2
2001-10-11 19:33:00-12:00,-14.7963,71.33445,6.487,4884.0,46980.0,4609.0,12.4
2001-10-11 19:34:00-12:00,-14.79774,71.33694,6.48,4879.0,46980.0,4608.0,13.7
2001-10-11 19:35:00-12:00,-14.79918,71.33942,6.47,4871.0,46980.0,4606.0,9.4
2001-10-11 19:36:00-12:00,-14.80063,71.34191,6.48,4879.0,46977.0,4602.0,13.1
2001-10-11 19:38:00-12:00,-14.80348,71.34685,6.478,4877.0,46981.0,4603.0,13.1
2001-10-11 19:39:00-12:00,-14.80494,71.34932,6.484,4882.0,46982.0,4603.0,12.1
2001-10-11 19:40:00-12:00,-14.80637,71.35179,6.481,4880.0,46979.0,4599.0,12.6
2001-10-11 19:41:00-12:00,-14.80785,71.35427,6.488,4885.0,46980.0,4599.0,10.9
2001-10-11 19:42:00-12:00,-14.80933,71.35678,6.477,4877.0,46979.0,4596.0,10.6
2001-10-11 19:43:00-12:00,-14.81081,71.35927,6.477,4877.0,46980.0,4595.0,11.9
2001-10-11 19:44:00-12:00,-14.81227,71.36175,6.478,4877.0,46980.0,4594.0,14.0
2001-10-11 19:45:00-12:00,-14.81373,71.36421,6.452,4858.0,46980.0,4593.0,12.5
2001-10-11 19:46:00-12:00,-14.81517,71.36668,6.37,4795.0,46979.0,4591.0,13.3
2001-10-11 19:47:00-12:00,-14.81663,71.36915,6.161,4634.0,46980.0,4590.0,14.4
2001-10-11 19:48:00-12:00,-14.81806,71.37157,6.106,4593.0,46980.0,4589.0,14.6
2001-10-11 19:49:00-12:00,-14.81943,71.37403,6.028,4532.0,46980.0,4587.0,16.0
2001-10-11 19:51:00-12:00,-14.82234,71.37898,6.018,4525.0,46977.0,4582.0,15.4
2001-10-11 19:52:00-12:00,-14.82376,71.38148,6.156,4630.0,46978.0,4581.0,15.1
2001-10-11 19:53:00-12:00,-14.82519,71.38396,6.183,4651.0,46978.0,4581.0,13.5
2001-10-11 19:54:00-12:00,-14.82666,71.38646,6.207,4669.0,46980.0,4581.0,16.3
2001-10-11 19:55:00-12:00,-14.82813,71.38897,6.216,4676.0,46980.0,4580.0,15.0
2001-10-11 19:56:00-12:00,-14.8296,71.3915,6.298,4740.0,46977.0,4576.0,15.6
2001-10-11 19:58:00-12:00,-14.83248,71.39655,6.284,4728.0,42282.0,-122.0,14.3
2001-10-11 19:59:00-12:00,-14.83392,71.39909,6.348,4778.0,42284.0,-122.0,20.1
2001-10-11 20:00:00-12:00,-14.83533,71.40162,6.505,4899.0,42285.0,-122.0,15.3
2001-10-11 20:10:00-12:00,-14.83674,71.40413,6.506,4900.0,42308.0,-101.0,18.6
2001-10-11 20:30:00-12:00,-14.8397,71.40918,6.547,4930.0,46980.0,4568.0,17.7
2001-10-11 20:40:00-12:00,-14.84118,71.41175,6.547,4930.0,46981.0,4568.0,20.8
2001-10-11 20:50:00-12:00,-14.84268,71.41433,6.549,4932.0,46981.0,4567.0,15.4
2001-10-11 20:10:00-12:00,-14.85002,71.42688,6.549,4932.0,42349.0,-72.0,19.5
2001-10-11 20:11:00-12:00,-14.85151,71.42938,6.561,4942.0,42357.0,-65.0,22.1
2001-10-11 20:12:00-12:00,-14.85296,71.43182,6.553,4935.0,42359.0,-65.0,20.9
2001-10-11 20:13:00-12:00,-14.85443,71.43431,6.517,4908.0,42360.0,-65.0,19.8
2001-10-11 20:14:00-12:00,-14.85592,71.43678,6.428,4839.0,42365.0,-62.0,23.4
2001-10-11 20:15:00-12:00,-14.85738,71.43927,6.369,4794.0,42367.0,-61.0,21.4
2001-10-11 20:16:00-12:00,-14.85879,71.4418,6.337,4770.0,42370.0,-59.0,20.1
2001-10-11 20:17:00-12:00,-14.86024,71.44426,6.354,4783.0,42368.0,-62.0,21.5
2001-10-11 20:18:00-12:00,-14.86168,71.44674,6.333,4766.0,42365.0,-67.0,23.2
2001-10-11 20:19:00-12:00,-14.86314,71.44925,6.291,4734.0,42367.0,-66.0,23.1
2001-10-11 20:20:00-12:00,-14.86458,71.45175,6.224,4682.0,42381.0,-54.0,22.9
2001-10-11 20:21:00-12:00,-14.86602,71.45423,6.175,4645.0,42380.0,-56.0,24.6
2001-10-11 20:22:00-12:00,-14.86743,71.45668,6.198,4662.0,42394.0,-44.0,25.6
2001-10-11 20:23:00-12:00,-14.86886,71.45911,6.078,4570.0,42390.0,-48.0,24.5
2001-10-11 20:24:00-12:00,-14.87025,71.46155,6.006,4515.0,42394.0,-46.0,25.7
2001-10-11 20:25:00-12:00,-14.87165,71.46397,5.942,4466.0,42391.0,-50.0,28.2
2001-10-11 20:26:00-12:00,-14.87306,71.46645,5.85,4397.0,42404.0,-39.0,26.8
2001-10-11 20:27:00-12:00,-14.87446,71.46889,5.551,4168.0,42408.0,-36.0,22.7
2001-10-11 20:28:00-12:00,-14.87587,71.47142,5.517,4142.0,42411.0,-34.0,27.2
2001-10-11 20:29:00-12:00,-14.87729,71.47398,5.484,4117.0,42410.0,-36.0,26.2
2001-10-11 20:34:00-12:00,-14.88466,71.48661,5.459,4098.0,42362.0,-91.0,28.1
2001-10-11 20:36:00-12:00,-14.88759,71.49161,5.448,4090.0,42408.0,-48.0,26.8
2001-10-11 20:37:00-12:00,-14.88905,71.4941,5.398,4051.0,42418.0,-39.0,28.0
2001-10-11 20:39:00-12:00,-14.89194,71.49913,5.58,4190.0,42426.0,-34.0,27.7
2001-10-11 20:40:00-12:00,-14.89338,71.50163,5.748,4318.0,42436.0,-26.0,25.8
2001-10-11 20:41:00-12:00,-14.89485,71.50414,5.773,4338.0,42438.0,-25.0,29.9
2001-10-11 20:42:00-12:00,-14.89632,71.50663,5.9,4434.0,42442.0,-22.0,28.8
2001-10-11 20:43:00-12:00,-14.8978,71.50911,6.034,4538.0,42445.0,-21.0,28.8
2001-10-11 20:44:00-12:00,-14.89926,71.51158,6.144,4621.0,42444.0,-22.0,27.1
2001-10-11 20:45:00-12:00,-14.90075,71.51409,6.177,4647.0,42446.0,-22.0,27.8
2001-10-11 20:46:00-12:00,-14.90221,71.51657,6.148,4624.0,42443.0,-26.0,30.0
2001-10-11 20:47:00-12:00,-14.90366,71.51904,6.046,4546.0,42444.0,-27.0,23.7
2001-10-11 20:48:00-12:00,-14.9051,71.52151,6.001,4512.0,42446.0,-26.0,28.6
2001-10-11 20:49:00-12:00,-14.90656,71.52403,6.04,4542.0,42447.0,-26.0,27.0
2001-10-11 20:50:00-12:00,-14.90803,71.52656,6.04,4542.0,42451.0,-24.0,26.7
2001-10-11 20:51:00-12:00,-14.9095,71.52907,6.057,4555.0,42452.0,-24.0,24.8
2001-10-11 20:52:00-12:00,-14.91094,71.53161,6.105,4592.0,42448.0,-30.0,26.5
2001-10-11 20:54:00-12:00,-14.9138,71.53663,6.137,4616.0,42459.0,-22.0,23.4
2001-10-11 20:55:00-12:00,-14.91519,71.53908,6.147,4623.0,42459.0,-23.0,23.2
2001-10-11 20:56:00-12:00,-14.9166,71.54155,6.185,4653.0,42459.0,-24.0,22.0
2001-10-11 20:57:00-12:00,-14.91801,71.54402,6.185,4653.0,42462.0,-22.0,25.8
2001-10-11 20:58:00-12:00,-14.9194,71.54647,6.216,4676.0,42465.0,-20.0,21.3
2001-10-11 20:59:00-12:00,-14.92083,71.54889,6.226,4684.0,42461.0,-26.0,21.4
2001-10-11 21:00:00-12:00,-14.9223,71.55134,6.206,4668.0,42472.0,-16.0,25.9
2001-10-11 21:10:00-12:00,-14.92372,71.55381,6.183,4651.0,42474.0,-16.0,23.2
2001-10-11 21:20:00-12:00,-14.92509,71.55621,6.195,4660.0,42476.0,-15.0,23.0
2001-10-11 21:30:00-12:00,-14.9265,71.55864,6.214,4674.0,42478.0,-14.0,22.9
2001-10-11 21:40:00-12:00,-14.92791,71.56108,6.214,4674.0,42481.0,-13.0,22.5
2001-10-11 21:50:00-12:00,-14.92934,71.56353,6.077,4570.0,42481.0,-14.0,20.5
2001-10-11 21:10:00-12:00,-14.9364,71.57572,6.358,4785.0,42487.0,-14.0,21.7
2001-10-11 21:11:00-12:00,-14.93782,71.57817,6.329,4763.0,42493.0,-10.0,24.1
2001-10-11 21:12:00-12:00,-14.93925,71.58066,6.444,4852.0,42492.0,-12.0,19.8
2001-10-11 21:13:00-12:00,-14.94074,71.58309,6.465,4868.0,42494.0,-12.0,21.2
2001-10-11 21:14:00-12:00,-14.94215,71.58559,6.49,4887.0,42496.0,-11.0,17.7
2001-10-11 21:15:00-12:00,-14.94359,71.58804,6.638,5000.0,42496.0,-13.0,18.6
2001-10-11 21:16:00-12:00,-14.94504,71.59049,6.648,5009.0,42501.0,-9.0,20.6
2001-10-11 21:17:00-12:00,-14.9465,71.59291,6.67,5025.0,42502.0,-9.0,20.5
2001-10-11 21:18:00-12:00,-14.94794,71.59532,6.634,4998.0,42503.0,-10.0,21.4
2001-10-11 21:19:00-12:00,-14.94937,71.59773,6.668,5024.0,42503.0,-11.0,17.6
2001-10-11 21:20:00-12:00,-14.95079,71.6002,6.686,5037.0,42503.0,-12.0,18.3
2001-10-11 21:21:00-12:00,-14.9522,71.60264,6.688,5039.0,42507.0,-9.0,18.3
2001-10-11 21:22:00-12:00,-14.95362,71.60506,6.651,5011.0,42506.0,-12.0,18.5
2001-10-11 21:23:00-12:00,-14.95503,71.60752,6.662,5019.0,42507.0,-12.0,20.3
2001-10-11 21:24:00-12:00,-14.95641,71.60997,6.675,5029.0,42509.0,-12.0,18.6
2001-10-11 21:25:00-12:00,-14.95778,71.61238,6.675,5029.0,42509.0,-12.0,17.4
2001-10-11 21:26:00-12:00,-14.95919,71.61484,6.658,5017.0,42505.0,-18.0,20.2
2001-10-11 21:27:00-12:00,-14.96061,71.61728,6.647,5008.0,42506.0,-19.0,20.1
2001-10-11 21:28:00-12:00,-14.96204,71.61973,6.672,5027.0,42504.0,-22.0,18.7
2001-10-11 21:29:00-12:00,-14.96345,71.62216,6.61,4980.0,42501.0,-26.0,21.1
2001-10-11 21:30:00-12:00,-14.96482,71.62461,6.722,5066.0,42502.0,-26.0,21.6
2001-10-11 21:31:00-12:00,-14.9662,71.62703,6.718,5062.0,42502.0,-28.0,21.9
2001-10-11 21:32:00-12:00,-14.9676,71.62948,6.733,5074.0,42501.0,-30.0,21.1
2001-10-11 21:33:00-12:00,-14.96902,71.63182,6.724,5067.0,42500.0,-32.0,16.0
2001-10-11 21:34:00-12:00,-14.97041,71.6343,6.695,5044.0,42500.0,-34.0,17.8
2001-10-11 21:35:00-12:00,-14.97184,71.63679,6.596,4968.0,42497.0,-38.0,15.8
2001-10-11 21:36:00-12:00,-14.97329,71.63923,6.579,4955.0,42496.0,-40.0,20.7
2001-10-11 21:37:00-12:00,-14.97468,71.64168,6.564,4944.0,42494.0,-43.0,22.2
2001-10-11 21:38:00-12:00,-14.97608,71.6441,6.56,4941.0,42493.0,-46.0,21.4
2001-10-11 21:39:00-12:00,-14.97751,71.64652,6.521,4911.0,42491.0,-49.0,21.2
2001-10-11 21:40:00-12:00,-14.97894,71.64896,6.47,4871.0,42489.0,-52.0,23.4
2001-10-11 21:41:00-12:00,-14.98034,71.65138,6.373,4797.0,42488.0,-55.0,24.0
2001-10-11 21:42:00-12:00,-14.98176,71.65381,6.187,4654.0,42487.0,-58.0,21.8
2001-10-11 21:43:00-12:00,-14.98318,71.6562,6.196,4661.0,42485.0,-60.0,22.3
2001-10-11 21:44:00-12:00,-14.98453,71.65858,6.16,4633.0,42484.0,-63.0,23.5
2001-10-11 21:45:00-12:00,-14.98596,71.66095,6.161,4634.0,42485.0,-63.0,25.5
2001-10-11 21:46:00-12:00,-14.9874,71.66341,6.161,4634.0,42482.0,-68.0,23.6
2001-10-11 21:47:00-12:00,-14.98883,71.66584,6.102,4589.0,42482.0,-68.0,21.4
2001-10-11 21:48:00-12:00,-14.99023,71.66827,6.107,4593.0,42482.0,-70.0,23.7
2001-10-11 21:49:00-12:00,-14.99165,71.67071,6.058,4556.0,42482.0,-72.0,23.6
2001-10-11 21:50:00-12:00,-14.99313,71.67318,6.018,4525.0,42482.0,-72.0,24.0
2001-10-11 21:51:00-12:00,-14.99459,71.6757,5.992,4505.0,42484.0,-72.0,21.7
2001-10-11 21:52:00-12:00,-14.99604,71.67816,5.965,4484.0,42487.0,-71.0,24.2
2001-10-11 21:53:00-12:00,-14.99752,71.68064,6.065,4561.0,42489.0,-70.0,23.9
2001-10-11 21:54:00-12:00,-14.9989,71.68313,6.03,4533.0,42492.0,-68.0,26.9
2001-10-11 21:55:00-12:00,-15.00034,71.68557,6.119,4602.0,42496.0,-66.0,24.1
2001-10-11 21:56:00-12:00,-15.0018,71.68804,6.149,4625.0,42501.0,-62.0,23.5
2001-10-11 21:57:00-12:00,-15.00318,71.69054,6.194,4660.0,42505.0,-59.0,26.2
2001-10-11 21:58:00-12:00,-15.00462,71.69298,6.252,4704.0,42512.0,-53.0,24.7
2001-10-11 21:59:00-12:00,-15.00604,71.69548,6.252,4704.0,42517.0,-49.0,27.2
2001-10-11 22:00:00-12:00,-15.00745,71.69787,6.362,4789.0,42527.0,-41.0,23.5
2001-10-11 22:10:00-12:00,-15.00888,71.70032,6.365,4791.0,42531.0,-38.0,25.0
2001-10-11 22:20:00-12:00,-15.01027,71.70273,6.442,4851.0,42540.0,-30.0,27.3
2001-10-11 22:30:00-12:00,-15.01173,71.70517,6.457,4862.0,42550.0,-22.0,24.5
2001-10-11 22:40:00-12:00,-15.01318,71.7076,6.416,4830.0,42560.0,-14.0,21.0
2001-10-11 22:50:00-12:00,-15.01456,71.71009,6.424,4836.0,42566.0,-9.0,22.6
2001-10-11 22:10:00-12:00,-15.02168,71.72232,6.507,4900.0,42608.0,27.0,20.7
2001-10-11 22:11:00-12:00,-15.02306,71.72477,6.83,5148.0,42613.0,31.0,20.9
2001-10-11 22:12:00-12:00,-15.02452,71.72723,6.647,5008.0,42618.0,34.0,22.1
2001-10-11 22:13:00-12:00,-15.02594,71.72971,6.636,4999.0,42626.0,40.0,23.8
2001-10-11 22:14:00-12:00,-15.02731,71.73226,6.648,5009.0,42629.0,42.0,19.6
2001-10-11 22:15:00-12:00,-15.02869,71.73474,6.734,5074.0,42635.0,47.0,22.1
2001-10-11 22:16:00-12:00,-15.03014,71.73718,6.714,5060.0,42638.0,48.0,23.0
