,LAT,LON,CORR_DEPTH,MAG_TOT,MAG_TOT2,MAG_RES,GRA_OBS,EOTVOS,FREEAIR,LINEID
2017-09-11 14:49:00+00:00,-26.17391,71.09997,3435.2,46015.7,46021.0,-208.0,979041.8,59.7,3.5,7-101
2017-09-11 14:50:00+00:00,-26.17524,71.10266,3339.9,46019.5,46011.2,-207.7,979043.3,58.8,6.1,7-101
2017-09-11 14:51:00+00:00,-26.17568,71.10356,3339.6,46023.9,46037.6,-206.7,979045.1,59.4,7.2,7-101
2017-09-11 14:53:00+00:00,-26.17923,71.11073,3100.7,46038.1,46036.6,-191.5,979050.4,59.0,12.5,7-101
2017-09-11 14:54:00+00:00,-26.18058,71.11343,3142.3,46047.3,46042.5,-181.2,979052.6,59.1,15.0,7-101
2017-09-11 14:55:00+00:00,-26.18193,71.11613,3180.9,46059.7,46027.7,-174.4,979054.5,59.0,16.5,7-101
2017-09-11 14:56:00+00:00,-26.18328,71.11882,3172.9,46072.5,46063.5,-162.7,979056.8,59.3,18.4,7-101
2017-09-11 14:57:00+00:00,-26.18462,71.12151,3229.3,46080.4,46076.0,-155.7,979058.4,59.4,20.3,7-101
2017-09-11 14:58:00+00:00,-26.1855,71.12331,3142.8,46088.2,46084.5,-150.7,979059.8,59.2,21.2,7-101
2017-09-11 15:23:00+00:00,-26.21906,71.19194,2826.9,46298.1,46295.9,24.5,979081.5,61.0,41.0,7-101
2017-09-11 15:24:00+00:00,-26.22042,71.19473,2783.8,46306.1,46298.0,30.6,979081.8,61.0,41.3,7-101
2017-09-11 15:25:00+00:00,-26.22178,71.1975,2969.0,46304.5,46305.0,33.2,979082.7,60.5,41.5,7-101
2017-09-11 15:26:00+00:00,-26.2231,71.20023,2797.5,46314.5,46312.7,36.2,979082.6,59.4,41.7,7-101
2017-09-11 15:27:00+00:00,-26.2244,71.20291,2783.2,46318.2,46314.3,38.8,979083.3,58.8,42.3,7-101
2017-09-11 15:28:00+00:00,-26.22571,71.20559,2800.4,46319.6,44639.3,39.7,979084.5,59.4,42.7,7-101
2017-09-11 15:29:00+00:00,-26.22706,71.20831,2727.7,46321.9,46323.3,40.7,979084.6,59.3,43.7,7-101
2017-09-11 15:30:00+00:00,-26.22843,71.21103,2617.0,46324.7,46322.4,39.2,979085.1,59.0,43.9,7-101
2017-09-11 15:31:00+00:00,-26.2298,71.21373,2616.6,46326.1,46325.5,37.9,979086.1,59.4,44.2,7-101
2017-09-11 15:32:00+00:00,-26.23116,71.21644,2633.7,46322.4,46324.0,35.8,979086.7,58.3,44.5,7-101
2017-09-11 15:33:00+00:00,-26.23244,71.21907,2686.3,46322.6,46325.4,33.3,979085.7,57.8,44.8,7-101
2017-09-11 15:34:00+00:00,-26.23369,71.22166,2675.4,46269.6,46321.9,31.5,979087.4,56.9,45.2,7-101
2017-09-11 15:35:00+00:00,-26.23498,71.22429,2638.2,46320.4,46321.9,29.1,979087.4,58.3,45.5,7-101
2017-09-11 15:36:00+00:00,-26.23632,71.22696,2597.2,46317.2,46321.1,25.8,979087.4,57.9,45.7,7-101
2017-09-11 15:37:00+00:00,-26.23764,71.2296,2637.7,46318.0,46316.6,22.2,979087.8,57.3,46.4,7-101
2017-09-11 15:38:00+00:00,-26.23893,71.2322,2573.9,46312.8,46313.7,18.5,979088.3,57.2,47.1,7-101
2017-09-11 15:39:00+00:00,-26.24023,71.23486,2594.8,46309.2,46311.2,14.7,979089.6,58.2,47.4,7-101
2017-09-11 15:40:00+00:00,-26.24155,71.23756,2606.8,46307.3,46309.5,11.1,979089.4,59.7,47.5,7-101
2017-09-11 15:41:00+00:00,-26.24288,71.2403,2599.5,46316.1,46309.3,9.3,979090.7,60.6,47.7,7-101
2017-09-11 15:42:00+00:00,-26.24422,71.24307,2550.2,46303.2,46298.7,3.5,979089.8,61.1,47.5,7-101
2017-09-11 15:43:00+00:00,-26.24556,71.24584,2646.5,46314.3,46305.3,4.4,979090.3,59.7,47.5,7-101
2017-09-11 15:44:00+00:00,-26.2469,71.24855,2652.5,46301.2,46302.4,2.7,979089.0,58.4,47.4,7-101
2017-09-11 15:45:00+00:00,-26.24819,71.25119,2660.7,46309.4,46306.8,3.0,979089.9,57.6,47.5,7-101
2017-09-11 15:46:00+00:00,-26.24946,71.25382,2664.5,46311.4,46307.6,4.2,979091.0,58.4,47.5,7-101
2017-09-11 15:47:00+00:00,-26.25074,71.2565,2670.8,46311.5,46312.0,5.9,979090.6,59.4,47.7,7-101
2017-09-11 15:48:00+00:00,-26.25205,71.25923,2690.9,46319.4,46318.8,10.1,979090.7,60.3,47.7,7-101
2017-09-11 15:49:00+00:00,-26.25339,71.26201,2609.2,46329.1,46320.0,13.7,979090.4,60.9,47.6,7-101
2017-09-11 15:50:00+00:00,-26.25476,71.2648,2655.7,46328.3,46325.7,18.3,979090.9,61.2,47.5,7-101
2017-09-11 15:51:00+00:00,-26.25613,71.26758,2684.2,46334.5,46317.1,21.2,979089.6,60.5,47.2,7-101
2017-09-11 15:52:00+00:00,-26.2575,71.27033,2669.4,46339.1,46338.5,24.5,979089.9,59.7,47.0,7-101
